nom;tournee;type;number_count;numbers
Residence de Hent Croas;;voie;16;1,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24
Residence de Kerandouin;;voie;10;1,2,3,4,5,6,7,8,9,10
Résidence de Kerandouret;;voie;18;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Résidence de Kerbernes;;voie;7;3,4,5,6,7,8,9
Résidence de Kergoff;;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Résidence de Kermadec;;voie;7;1,2,3,4,5,6,7
résidence de Kervélégan;;voie;6;1,2,3,4,5,6
Résidence de Kervéréguen;;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Residence de Lodonnec;;voie;7;1,2,3,4,5,6,7
Résidence de Pratouarc’H;;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
Résidence de Stang Ar Goff;;voie;7;1,3,4,5,6,7,8
Residence de Ty Coat;;voie;1;10
Résidence Delaunay-Belleville;;voie;11;3,4,5,6,7,8,9,10,11,12,14
Residence des Aubepines;;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,32
Résidence des Jonquilles;;voie;21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,27
Résidence des Primevères;;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Résidence des Sables Blancs;;voie;10;1,2,3,4,5,6,8,9,10,11
Residence du Coadigou;;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,28,30,32,34,36,38
résidence du Park Coz;;voie;6;1,2,3,4,5,6
résidence Hent Poul ar Gleut Vian;;voie;7;1,2,3,4,5,6,8
Résidence Kan An Avel;;voie;11;1,2,3,4,5,6,7,8,9,10,11
Residence Mejou Kergall;;voie;5;1,3,5,7,9
Residence Mejou Penhador;;voie;14;1,2,4,6,7,8,9,10,11,12,13,14,15,17
Résidence Poul Ar Raniked;;voie;6;1,2,3,4,5,6
Residence Pradigou;;voie;6;1,2,3,4,5,6
Route de Kerdalae;;voie;10;12,14,16,18,20,22,24,26,28,1254
Route de Kermenhir Vras;;voie;7;1,2,3,4,5,6,8
Route de Kernizan;;voie;29;1,2,3,4,6,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,95,1245,1246,1247,1648,1652,1759
Route de Kervereguen;;voie;10;1,3,4,5,7,9,11,13,15,161
Route de Larvor;;voie;46;2,4,6,10,12,14,16,18,20,21,22,23,24,25,26,28,30,31,32,33,34,35,36,37,38,39,40,43,45,47,49,51,55,56,62,63,64,65,67,68,69,70,71,73,75,77
Route de Plobannalec;;voie;34;2,5,6,7,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,32,34,36,38,40,42,44,46,48,50,52
Route de Plonivel;;voie;19;1,2,3,5,6,7,8,9,10,12,16,18,20,22,24,26,28,30,32
Route de Pont l’Abbe;;voie;3;2,4,5
Route de Queffen;;voie;10;7,9,11,14,16,18,22,24,26,28
Route du Ster;;voie;23;3,6,8,10,12,14,16,18,20,22,24,26,28,30,31,34,36,38,86,87,88,90,95
Route du Traon;;voie;23;1,2,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,23,25,27,29,31
Rue Andre Dauchez;;voie;39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,33,35,37,39,41,43,45,47,49,51
Rue Camille Boiry;;voie;11;2,3,4,5,6,7,8,9,10,12,14
Rue Corentin Cariou;;voie;14;1,2,3,4,5,6,7,8,9,10,11,15,17,19
Rue d’Ezer;;voie;19;1,2,3,5,7,9,12,13,14,16,17,18,19,21,22,23,24,38,58
Rue de Corn Lan Ar Bleis;;voie;23;1,2,4,6,7,8,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,31,33
Rue de Glévian;;voie;34;1,2,3,4,8,10,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55
Rue de Hent Glaz;;voie;24;1,2,4,6,7,10,12,14,17,19,20,21,23,24,26,28,30,32,34,36,38,40,42,44
Rue de Kareck Hir;;voie;33;1,3,5,7,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,31,32,34,36,38,40,42,44,46
Rue de Kerafédé;;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17
Rue de Kerandouret;;voie;28;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,28,29,30,32
Rue de Kerbernes;;voie;31;1,3,4,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,29,31,33,35,37,1239,1240,1712,1768
Rue de Kerbernez;;voie;22;3,4,8,10,11,12,13,14,15,17,19,21,22,23,27,31,33,37,1239,1240,1712,1768
Rue de Kerfriant;;voie;52;1,2,3,4,5,6,7,9,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,52,54,56,1349,1382,1393,1412,1417
Rue de Kergall;;voie;57;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,47,49,50,51,52,53,54,55,57,59,60,62,64,68,70
Rue de Kergoff;;voie;16;2,3,4,5,6,7,9,12,14,15,16,17,18,20,22,24
Rue de Kergolven;;voie;42;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Rue de Kerillis;;voie;35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,28,30,32,33,34,37,41,43,45,49,51
Rue de Kerizur;;voie;23;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,23,24,1312
Rue de Kerlannick;;voie;14;1,2,3,4,5,6,7,8,9,10,11,13,15,17
Rue de Kerleo;;voie;48;4,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,50,52,56,58,60,62,64
Rue de Kerpaul;;voie;46;1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,38,40,42,44,46,47,48,49,50,51,52,53,55,57
Rue de Kervélégan;;voie;53;1,3,5,9,11,15,17,19,21,23,25,27,29,31,35,36,37,38,39,40,41,42,43,45,46,47,49,50,52,54,59,60,61,62,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,79,81,83,85
Rue de Kervilzic;;voie;10;1,2,4,6,10,11,12,13,35,37
Rue de l’Argoat;;voie;9;1,2,3,4,5,6,7,8,9
Rue de l’Océan;;voie;22;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24
Rue de la Grandière;;voie;16;1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,22
Rue de la Palue de Kerfriant;;voie;27;1,2,3,4,5,6,7,9,11,12,13,14,15,16,17,18,20,21,22,23,25,27,29,31,1390,1394,1409
Rue de la Palue du Cosquer;;voie;25;1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27
Rue de la Palue;;voie;35;1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,32,34,36,38,40,42,44,46
