nom;type;number_count;numbers
Poulleac H;voie;1;3
Quai de Pors-Moro;voie;6;1,2,4,5,15,17
Quai Henry-Maurice Bénard;voie;3;1,3,5
Quai Saint-Laurent;voie;12;1,2,3,4,5,6,8,10,12,14,16,18
Quartier Vallou;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17
Quelennou;voie;1;1
Résidence d’An Hent Coz;voie;10;2,3,4,5,6,7,8,10,12,14
Résidence de la Rivière;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,21,23
Résidence du Kreisker;voie;14;1,2,3,4,5,6,7,8,10,12,14,16,18,20
Residence du Moulin de Pors Moro;voie;10;1,2,3,4,5,6,7,8,9,10
Résidence du Steven;voie;22;2,3,4,5,6,7,8,9,11,12,13,15,17,19,21,23,25,27,29,31,33,35
Résidence Louis Hémon;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Route de Combrit;voie;19;1,2,3,5,6,7,8,9,10,11,14,15,16,17,25,27,29,31,35
Route de Kerguévélen;voie;13;1,2,5,6,7,9,11,12,13,14,15,17,19
Route de l’Ile-Chevalier;voie;1;9
Route de Loctudy;voie;11;2,4,6,13,15,17,19,21,23,25,27
Route de Plobannalec;voie;14;1,2,3,5,7,9,11,13,15,17,19,23,25,31
Route de Plomeur;voie;11;1,2,3,4,5,6,7,8,10,12,14
Route de Ploneour Lanvern;voie;1;14
Route de Plonivel;voie;4;1,2,4,6
Route de Queffen;voie;12;1,2,3,4,5,6,8,10,12,14,18,20
Route de Saint Jean Trolimon;voie;5;9,31,51,53,220
Route de Saint-Jean;voie;4;9,51,53,220
Route de Saint-Servais;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Route de Tréméoc;voie;2;15,532
Route de Troliguer;voie;17;2,3,4,5,7,8,9,10,11,12,15,16,26,28,30,32,34
Rue Alain Signor;voie;34;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,33,35,39,41,43,45
Rue Alfred le Dilosquer;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18
Rue Anjela Duval;voie;22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23
Rue Anne de Bretagne;voie;14;1,2,3,4,5,6,7,8,9,10,12,14,16,18
Rue Ar Soner du;voie;26;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40
Rue Arnoult;voie;14;1,3,4,5,6,7,8,9,11,12,13,14,16,18
Rue Auguste Dupouy;voie;41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,29,31,33,35,37,39,41,43,45,49,51,53,55,57,59
Rue Bienheureux Vincent l’Henoret;voie;37;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,36,38,40,42,44,46
Rue Bringall Huella;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rue Brizeux;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19
Rue Burdeau;voie;13;1,2,3,4,5,6,7,8,9,11,12,13,15
Rue Cadoudal;voie;6;1,2,3,5,7,26
