#Code_commune_INSEE;Nom_de_la_commune;Code_postal;Libellé_d_acheminement;Ligne_5;url_rues
1062;BRESSOLLES;1360;BRESSOLLES;;https://adresse.data.gouv.fr/api/downloads/1062/street-list?from=api-depot
1062;BRESSOLLES;1360;BRESSOLLES;LA LECHERE;https://adresse.data.gouv.fr/api/downloads/1062/street-list?from=api-depot
1063;BRION;1460;BRION;;https://adresse.data.gouv.fr/api/downloads/1063/street-list?from=api-depot
1064;BRIORD;1470;BRIORD;;https://adresse.data.gouv.fr/api/downloads/1064/street-list?from=api-depot
1065;BUELLAS;1310;BUELLAS;;https://adresse.data.gouv.fr/api/downloads/1065/street-list?from=api-depot
1065;BUELLAS;1310;BUELLAS;CORGENON;https://adresse.data.gouv.fr/api/downloads/1065/street-list?from=api-depot
1066;LA BURBANCHE;1510;LA BURBANCHE;;https://adresse.data.gouv.fr/api/downloads/1066/street-list?from=api-depot
1067;CEIGNES;1430;CEIGNES;;https://adresse.data.gouv.fr/api/downloads/1067/street-list?from=api-depot
1068;CERDON;1450;CERDON;;https://adresse.data.gouv.fr/api/downloads/1068/street-list?from=api-depot
1069;CERTINES;1240;CERTINES;;https://adresse.data.gouv.fr/api/downloads/1069/street-list?from=api-depot
1071;CESSY;1170;CESSY;;https://adresse.data.gouv.fr/api/downloads/1071/street-list?from=api-depot
1072;CEYZERIAT;1250;CEYZERIAT;;https://adresse.data.gouv.fr/api/downloads/1072/street-list?from=api-depot
1073;CEYZERIEU;1350;CEYZERIEU;;https://adresse.data.gouv.fr/api/downloads/1073/street-list?from=api-depot
1074;CHALAMONT;1320;CHALAMONT;;https://adresse.data.gouv.fr/api/downloads/1074/street-list?from=api-depot
1075;CHALEINS;1480;CHALEINS;;https://adresse.data.gouv.fr/api/downloads/1075/street-list?from=api-depot
1076;CHALEY;1230;CHALEY;;https://adresse.data.gouv.fr/api/downloads/1076/street-list?from=api-depot
1077;CHALLES LA MONTAGNE;1450;CHALLES LA MONTAGNE;;https://adresse.data.gouv.fr/api/downloads/1077/street-list?from=api-depot
1078;CHALLEX;1630;CHALLEX;;https://adresse.data.gouv.fr/api/downloads/1078/street-list?from=api-depot
1079;CHAMPAGNE EN VALROMEY;1260;CHAMPAGNE EN VALROMEY;;https://adresse.data.gouv.fr/api/downloads/1079/street-list?from=api-depot
1079;CHAMPAGNE EN VALROMEY;1260;CHAMPAGNE EN VALROMEY;LILIGNOD;https://adresse.data.gouv.fr/api/downloads/1079/street-list?from=api-depot
1079;CHAMPAGNE EN VALROMEY;1260;CHAMPAGNE EN VALROMEY;PASSIN;https://adresse.data.gouv.fr/api/downloads/1079/street-list?from=api-depot
1080;CHAMPDOR CORCELLES;1110;CHAMPDOR CORCELLES;CHAMPDOR;https://adresse.data.gouv.fr/api/downloads/1080/street-list?from=api-depot
1080;CHAMPDOR CORCELLES;1110;CHAMPDOR CORCELLES;CORCELLES;https://adresse.data.gouv.fr/api/downloads/1080/street-list?from=api-depot
1081;CHAMPFROMIER;1410;CHAMPFROMIER;;https://adresse.data.gouv.fr/api/downloads/1081/street-list?from=api-depot
1082;CHANAY;1420;CHANAY;;https://adresse.data.gouv.fr/api/downloads/1082/street-list?from=api-depot
1083;CHANEINS;1990;CHANEINS;;https://adresse.data.gouv.fr/api/downloads/1083/street-list?from=api-depot
1084;CHANOZ CHATENAY;1400;CHANOZ CHATENAY;;https://adresse.data.gouv.fr/api/downloads/1084/street-list?from=api-depot
1085;LA CHAPELLE DU CHATELARD;1240;LA CHAPELLE DU CHATELARD;;https://adresse.data.gouv.fr/api/downloads/1085/street-list?from=api-depot
1087;CHARIX;1130;CHARIX;;https://adresse.data.gouv.fr/api/downloads/1087/street-list?from=api-depot
1088;CHARNOZ SUR AIN;1800;CHARNOZ SUR AIN;;https://adresse.data.gouv.fr/api/downloads/1088/street-list?from=api-depot
1089;CHATEAU GAILLARD;1500;CHATEAU GAILLARD;;https://adresse.data.gouv.fr/api/downloads/1089/street-list?from=api-depot
1090;CHATENAY;1320;CHATENAY;;https://adresse.data.gouv.fr/api/downloads/1090/street-list?from=api-depot
1092;CHATILLON LA PALUD;1320;CHATILLON LA PALUD;;https://adresse.data.gouv.fr/api/downloads/1092/street-list?from=api-depot
1093;CHATILLON SUR CHALARONNE;1400;CHATILLON SUR CHALARONNE;;https://adresse.data.gouv.fr/api/downloads/1093/street-list?from=api-depot
1094;CHAVANNES SUR REYSSOUZE;1190;CHAVANNES SUR REYSSOUZE;;https://adresse.data.gouv.fr/api/downloads/1094/street-list?from=api-depot
1095;NIVIGNE ET SURAN;1250;NIVIGNE ET SURAN;CHAVANNES SUR SURAN;https://adresse.data.gouv.fr/api/downloads/1095/street-list?from=api-depot
1095;NIVIGNE ET SURAN;1250;NIVIGNE ET SURAN;GERMAGNAT;https://adresse.data.gouv.fr/api/downloads/1095/street-list?from=api-depot
1096;CHAVEYRIAT;1660;CHAVEYRIAT;;https://adresse.data.gouv.fr/api/downloads/1096/street-list?from=api-depot
1098;CHAZEY BONS;1300;CHAZEY BONS;;https://adresse.data.gouv.fr/api/downloads/1098/street-list?from=api-depot
1098;CHAZEY BONS;1510;CHAZEY BONS;PUGIEU;https://adresse.data.gouv.fr/api/downloads/1098/street-list?from=api-depot
1099;CHAZEY SUR AIN;1150;CHAZEY SUR AIN;;https://adresse.data.gouv.fr/api/downloads/1099/street-list?from=api-depot
1100;CHEIGNIEU LA BALME;1510;CHEIGNIEU LA BALME;;https://adresse.data.gouv.fr/api/downloads/1100/street-list?from=api-depot
1101;CHEVILLARD;1430;CHEVILLARD;;https://adresse.data.gouv.fr/api/downloads/1101/street-list?from=api-depot
1102;CHEVROUX;1190;CHEVROUX;;https://adresse.data.gouv.fr/api/downloads/1102/street-list?from=api-depot
1103;CHEVRY;1170;CHEVRY;;https://adresse.data.gouv.fr/api/downloads/1103/street-list?from=api-depot
1104;CHEZERY FORENS;1200;CHEZERY FORENS;;https://adresse.data.gouv.fr/api/downloads/1104/street-list?from=api-depot
1104;CHEZERY FORENS;1410;CHEZERY FORENS;;https://adresse.data.gouv.fr/api/downloads/1104/street-list?from=api-depot
1105;CIVRIEUX;1390;CIVRIEUX;;https://adresse.data.gouv.fr/api/downloads/1105/street-list?from=api-depot
1106;CIZE;1250;CIZE;;https://adresse.data.gouv.fr/api/downloads/1106/street-list?from=api-depot
1107;CLEYZIEU;1230;CLEYZIEU;;https://adresse.data.gouv.fr/api/downloads/1107/street-list?from=api-depot
1108;COLIGNY;1270;COLIGNY;;https://adresse.data.gouv.fr/api/downloads/1108/street-list?from=api-depot
1109;COLLONGES;1550;COLLONGES;;https://adresse.data.gouv.fr/api/downloads/1109/street-list?from=api-depot
1110;COLOMIEU;1300;COLOMIEU;;https://adresse.data.gouv.fr/api/downloads/1110/street-list?from=api-depot
1111;CONAND;1230;CONAND;;https://adresse.data.gouv.fr/api/downloads/1111/street-list?from=api-depot
1112;CONDAMINE;1430;CONDAMINE;;https://adresse.data.gouv.fr/api/downloads/1112/street-list?from=api-depot
1113;CONDEISSIAT;1400;CONDEISSIAT;;https://adresse.data.gouv.fr/api/downloads/1113/street-list?from=api-depot
1114;CONFORT;1200;CONFORT;;https://adresse.data.gouv.fr/api/downloads/1114/street-list?from=api-depot
1115;CONFRANCON;1310;CONFRANCON;;https://adresse.data.gouv.fr/api/downloads/1115/street-list?from=api-depot
1116;CONTREVOZ;1300;CONTREVOZ;;https://adresse.data.gouv.fr/api/downloads/1116/street-list?from=api-depot
1117;CONZIEU;1300;CONZIEU;;https://adresse.data.gouv.fr/api/downloads/1117/street-list?from=api-depot
1118;CORBONOD;1420;CORBONOD;;https://adresse.data.gouv.fr/api/downloads/1118/street-list?from=api-depot
