Code Postal / CEDEX;Libellé;Code INSEE;Type de code;Nom de la commune;Nom du département;NOM EPCI;Nom de la région
59635;WATTIGNIES CEDEX;59437;Code CEDEX;Noyelles-lès-Seclin;NORD;Métropole Européenne de Lille;HAUTS-DE-FRANCE
59635;WATTIGNIES CEDEX;59648;Code CEDEX;Wattignies;NORD;Métropole Européenne de Lille;HAUTS-DE-FRANCE
60104;CREIL CEDEX 1;60175;Code CEDEX;Creil;OISE;CA Creil Sud Oise;HAUTS-DE-FRANCE
67129;MOLSHEIM CEDEX;67112;Code CEDEX;Duttlenheim;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67300;Code CEDEX;Molsheim;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67313;Code CEDEX;Mutzig;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67008;Code CEDEX;Altorf;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67342;Code CEDEX;Oberhaslach;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67101;Code CEDEX;Dorlisheim;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67108;Code CEDEX;Duppigheim;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67128;Code CEDEX;Ernolsheim-Bruche;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
67129;MOLSHEIM CEDEX;67080;Code CEDEX;Dachstein;BAS-RHIN;CC de la Région de Molsheim-Mutzig;GRAND EST
72304;SABLE SUR SARTHE CEDEX;72244;Code CEDEX;Précigné;SARTHE;CC de Sablé-sur-Sarthe;PAYS DE LA LOIRE
77203;MARNE LA VALLEE CEDEX 1;77468;Code CEDEX;Torcy;SEINE-ET-MARNE;CA Paris - Vallée de la Marne;ILE-DE-FRANCE
78279;MAUREPAS CEDEX;78383;Code CEDEX;Maurepas;YVELINES;CA de Saint Quentin en Yvelines;ILE-DE-FRANCE
97478;ST DENIS CEDEX;97411;Code CEDEX;Saint-Denis;LA REUNION;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION
10202;BAR SUR AUBE CEDEX;10161;Code CEDEX;Fresnay;AUBE;CC de Vendeuvre-Soulaines;GRAND EST
10202;BAR SUR AUBE CEDEX;10366;Code CEDEX;Saulcy;AUBE;CC de Vendeuvre-Soulaines;GRAND EST
10202;BAR SUR AUBE CEDEX;10033;Code CEDEX;Bar-sur-Aube;AUBE;CC de la Région de Bar sur Aube;GRAND EST
31009;TOULOUSE CEDEX 6;31555;Code CEDEX;Toulouse;HAUTE-GARONNE;Toulouse Métropole;OCCITANIE
35302;FOUGERES CEDEX;35115;Code CEDEX;Fougères;ILLE-ET-VILAINE;CA Fougères Agglomération;BRETAGNE
35302;FOUGERES CEDEX;35324;Code CEDEX;La Selle-en-Luitré;ILLE-ET-VILAINE;CA Fougères Agglomération;BRETAGNE
35302;FOUGERES CEDEX;35062;Code CEDEX;La Chapelle-Janson;ILLE-ET-VILAINE;CA Fougères Agglomération;BRETAGNE
35302;FOUGERES CEDEX;35150;Code CEDEX;Lécousse;ILLE-ET-VILAINE;CA Fougères Agglomération;BRETAGNE
35302;FOUGERES CEDEX;35137;Code CEDEX;Javené;ILLE-ET-VILAINE;CA Fougères Agglomération;BRETAGNE
39602;ARBOIS CEDEX;39116;Code CEDEX;La Châtelaine;JURA;CC Arbois, Poligny, Salins, Coeur du Jura;BOURGOGNE-FRANCHE-COMTE
39602;ARBOIS CEDEX;39259;Code CEDEX;Grange-de-Vaivre;JURA;CC du Val d'Amour;BOURGOGNE-FRANCHE-COMTE
39602;ARBOIS CEDEX;39425;Code CEDEX;Les Planches-près-Arbois;JURA;CC Arbois, Poligny, Salins, Coeur du Jura;BOURGOGNE-FRANCHE-COMTE
39602;ARBOIS CEDEX;39013;Code CEDEX;Arbois;JURA;CC Arbois, Poligny, Salins, Coeur du Jura;BOURGOGNE-FRANCHE-COMTE
62921;AIRE SUR LA LYS CEDEX;62900;Code CEDEX;Witternesse;PAS-DE-CALAIS;CA de Béthune-Bruay, Artois-Lys Romane;HAUTS-DE-FRANCE
62921;AIRE SUR LA LYS CEDEX;62014;Code CEDEX;Aire-sur-la-Lys;PAS-DE-CALAIS;CA du Pays de Saint-Omer;HAUTS-DE-FRANCE
62921;AIRE SUR LA LYS CEDEX;62564;Code CEDEX;Mazinghem;PAS-DE-CALAIS;CA de Béthune-Bruay, Artois-Lys Romane;HAUTS-DE-FRANCE
62921;AIRE SUR LA LYS CEDEX;62875;Code CEDEX;Wardrecques;PAS-DE-CALAIS;CA du Pays de Saint-Omer;HAUTS-DE-FRANCE
79404;ST MAIXENT L ECOLE CEDEX;79270;Code CEDEX;Saint-Maixent-l'École;DEUX-SEVRES;CC Haut Val de Sèvre;NOUVELLE-AQUITAINE
91404;ORSAY CEDEX;91471;Code CEDEX;Orsay;ESSONNE;CA Communauté Paris-Saclay;ILE-DE-FRANCE
93561;ROSNY SOUS BOIS CEDEX;99109;Code CEDEX;;;;
93561;ROSNY SOUS BOIS CEDEX;93064;Code CEDEX;Rosny-sous-Bois;SEINE-SAINT-DENIS;Métropole du Grand Paris;ILE-DE-FRANCE
93693;PANTIN CEDEX;93055;Code CEDEX;Pantin;SEINE-SAINT-DENIS;Métropole du Grand Paris;ILE-DE-FRANCE
28106;DREUX CEDEX;28348;Code CEDEX;Saint-Lubin-des-Joncherets;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
28106;DREUX CEDEX;28404;Code CEDEX;Vernouillet;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
28106;DREUX CEDEX;28359;Code CEDEX;Saint-Rémy-sur-Avre;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
28106;DREUX CEDEX;28064;Code CEDEX;Bû;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
28106;DREUX CEDEX;28134;Code CEDEX;Dreux;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
28106;DREUX CEDEX;28098;Code CEDEX;Cherisy;EURE-ET-LOIR;CA Agglo du Pays de Dreux;CENTRE-VAL DE LOIRE
58033;NEVERS CEDEX;58194;Code CEDEX;Nevers;NIEVRE;CA de Nevers;BOURGOGNE-FRANCHE-COMTE
62033;ARRAS CEDEX;62767;Code CEDEX;Saint-Pol-sur-Ternoise;PAS-DE-CALAIS;CC du Ternois;HAUTS-DE-FRANCE
62033;ARRAS CEDEX;62041;Code CEDEX;Arras;PAS-DE-CALAIS;CU d'Arras;HAUTS-DE-FRANCE
67163;WISSEMBOURG CEDEX;67544;Code CEDEX;Wissembourg;BAS-RHIN;CC du Pays de Wissembourg;GRAND EST
88408;GERARDMER CEDEX;88196;Code CEDEX;Gérardmer;VOSGES;CC des Hautes Vosges;GRAND EST
92003;NANTERRE CEDEX;92050;Code CEDEX;Nanterre;HAUTS-DE-SEINE;Métropole du Grand Paris;ILE-DE-FRANCE
92811;PUTEAUX CEDEX;92062;Code CEDEX;Puteaux;HAUTS-DE-SEINE;Métropole du Grand Paris;ILE-DE-FRANCE
95931;ROISSY CHARLES DE GAULLE CEDEX 2;93073;Code CEDEX;Tremblay-en-France;SEINE-SAINT-DENIS;Métropole du Grand Paris;ILE-DE-FRANCE
95931;ROISSY CHARLES DE GAULLE CEDEX 2;93078;Code CEDEX;Villepinte;SEINE-SAINT-DENIS;Métropole du Grand Paris;ILE-DE-FRANCE
95931;ROISSY CHARLES DE GAULLE CEDEX 2;77294;Code CEDEX;Mitry-Mory;SEINE-ET-MARNE;CA Roissy Pays de France;ILE-DE-FRANCE
95931;ROISSY CHARLES DE GAULLE CEDEX 2;95527;Code CEDEX;Roissy-en-France;VAL-D'OISE;CA Roissy Pays de France;ILE-DE-FRANCE
91303;MASSY CEDEX;91377;Code CEDEX;Massy;ESSONNE;CA Communauté Paris-Saclay;ILE-DE-FRANCE
97058;ST MARTIN CEDEX;97801;Code CEDEX;;;;
44126;VERTOU CEDEX;44071;Code CEDEX;Haute-Goulaine;LOIRE-ATLANTIQUE;CA Clisson Sèvre et Maine Agglo;PAYS DE LA LOIRE
44126;VERTOU CEDEX;44009;Code CEDEX;Basse-Goulaine;LOIRE-ATLANTIQUE;Nantes Métropole;PAYS DE LA LOIRE
63055;CLERMONT FERRAND CEDEX 9;63113;Code CEDEX;Clermont-Ferrand;PUY-DE-DOME;Clermont Auvergne Métropole;AUVERGNE-RHONE-ALPES
75986;PARIS CEDEX 20;75120;Code CEDEX;;;;
26007;VALENCE CEDEX;26362;Code CEDEX;Valence;DROME;CA Valence Romans Agglo;AUVERGNE-RHONE-ALPES
28305;MAINVILLIERS CEDEX;28229;Code CEDEX;Mainvilliers;EURE-ET-LOIR;CA Chartres Métropole;CENTRE-VAL DE LOIRE
42050;ST ETIENNE CEDEX 2;42218;Code CEDEX;Saint-Étienne;LOIRE;Saint-Etienne Métropole;AUVERGNE-RHONE-ALPES
49402;SAUMUR CEDEX;49328;Code CEDEX;Saumur;MAINE-ET-LOIRE;CA Saumur Val de Loire;PAYS DE LA LOIRE
51302;VITRY LE FRANCOIS CEDEX;51649;Code CEDEX;Vitry-le-François;MARNE;CC de Vitry, Champagne et Der;GRAND EST
55002;BAR LE DUC CEDEX;55366;Code CEDEX;Val-d'Ornain;MEUSE;CA de Bar-le-Duc - Sud Meuse;GRAND EST
55002;BAR LE DUC CEDEX;55476;Code CEDEX;Savonnières-devant-Bar;MEUSE;CA de Bar-le-Duc - Sud Meuse;GRAND EST
55002;BAR LE DUC CEDEX;55029;Code CEDEX;Bar-le-Duc;MEUSE;CA de Bar-le-Duc - Sud Meuse;GRAND EST
59059;ROUBAIX CEDEX 1;59512;Code CEDEX;Roubaix;NORD;Métropole Européenne de Lille;HAUTS-DE-FRANCE
73261;AIGUEBLANCHE CEDEX;73046;Code CEDEX;;;;
73261;AIGUEBLANCHE CEDEX;73003;Code CEDEX;Grand-Aigueblanche;SAVOIE;CC des Vallées d'Aigueblanche;AUVERGNE-RHONE-ALPES
73261;AIGUEBLANCHE CEDEX;73024;Code CEDEX;Les Avanchers-Valmorel;SAVOIE;CC des Vallées d'Aigueblanche;AUVERGNE-RHONE-ALPES
73261;AIGUEBLANCHE CEDEX;45191;Code CEDEX;Le Malesherbois;LOIRET;CC du Pithiverais-Gâtinais;CENTRE-VAL DE LOIRE
75551;PARIS CEDEX 11;75111;Code CEDEX;;;;
75579;PARIS CEDEX 12;75112;Code CEDEX;;;;
75678;PARIS CEDEX 14;92049;Code CEDEX;Montrouge;HAUTS-DE-SEINE;Métropole du Grand Paris;ILE-DE-FRANCE
79003;NIORT CEDEX;79191;Code CEDEX;Niort;DEUX-SEVRES;CA du Niortais;NOUVELLE-AQUITAINE
79076;NIORT CEDEX 9;79191;Code CEDEX;Niort;DEUX-SEVRES;CA du Niortais;NOUVELLE-AQUITAINE
91302;MASSY CEDEX;91377;Code CEDEX;Massy;ESSONNE;CA Communauté Paris-Saclay;ILE-DE-FRANCE
92801;PUTEAUX CEDEX;92062;Code CEDEX;Puteaux;HAUTS-DE-SEINE;Métropole du Grand Paris;ILE-DE-FRANCE
